date,sfu_245MHz,sfu_410MHz,sfu_610MHz,sfu_1415MHz,sfu_2695MHz,sfu_4995MHz,sfu_8800MHz,sfu_15400MHz,alpha,r2,resid_2695,resid_4995,resid_8800,resid_15400,max_abs_resid,which_band,B_G_s2,B_G_s3
2018-02-04,8.0,19.0,34.0,41.0,69.0,109.0,242.0,494.0,1.153240614632632,0.9835728464148319,1.1067876918292952,0.8582228775467665,0.9916368994446394,1.0616537865524063,0.14177712245323348,4995.0,892.0,594.6
2018-05-04,10.0,27.0,34.0,45.0,67.0,108.0,240.0,524.0,1.1988302506715944,0.9827718372721085,1.115637960846779,0.8582496479228348,0.9672799845093741,1.079719342725508,0.14175035207716524,4995.0,892.0,594.6
2018-01-05,11.0,26.0,35.0,45.0,67.0,107.0,233.0,521.0,1.1921479020431571,0.9808238597707786,1.1215010762562823,0.8583032984355041,0.9514971914067609,1.0918224326602053,0.14169670156449587,4995.0,892.0,594.6
2018-04-19,12.0,28.0,34.0,47.0,68.0,109.0,241.0,523.0,1.1893064092386985,0.9825584608992739,1.1154244465702496,0.8583241055569376,0.9676878700973665,1.0793771861715822,0.1416758944430624,4995.0,892.0,594.6
2018-02-17,15.0,26.0,37.0,48.0,70.0,110.0,237.0,512.0,1.1587541489388142,0.9810111079811159,1.1175362795341943,0.8590869786694882,0.9602857460678064,1.0846777965295453,0.14091302133051176,4995.0,892.0,594.6
2018-01-20,8.0,21.0,34.0,47.0,68.0,108.0,237.0,504.0,1.168939086642913,0.9826672185653635,1.1128590933606999,0.8592243095025913,0.9725991256471647,1.075274608707356,0.14077569049740868,4995.0,892.0,594.6
2018-01-29,13.0,25.0,34.0,45.0,67.0,107.0,233.0,514.0,1.1852472202803193,0.981550090101971,1.1184422011349915,0.8596147412200561,0.956682405462294,1.0872134418217037,0.1403852587799439,4995.0,892.0,594.6
2018-05-02,11.0,29.0,36.0,45.0,67.0,107.0,235.0,506.0,1.1787581787694397,0.9826491910567167,1.1140181715407234,0.8596496604300404,0.9684859641651349,1.0781840379350416,0.14035033956995957,4995.0,892.0,594.6
2018-10-26,11.0,27.0,33.0,45.0,68.0,111.0,207.0,516.0,1.1525941155129675,0.9736068303287078,1.1202550639761173,0.8979715715721885,0.8718317532181004,1.1402177932242976,0.14021779322429762,15400.0,2750.0,1833.3
2018-04-20,12.0,29.0,36.0,48.0,72.0,112.0,240.0,502.0,1.133183599672675,0.9816121498566979,1.1128063252345888,0.8602769449147337,0.9703495144498517,1.0764997602746378,0.13972305508526628,4995.0,892.0,594.6
